email,company_name,address,phone,website,source,stage,last_sent_date,initial_sent_date,除外
info@aspire.co.jp,株式会社アスペア,東京都町田市原町田1-2-3 アーベイン平本ビル2F,,http://www.aspire.co.jp,wantedly,initial,,,
jinji@aspire.co.jp,株式会社アスペア,東京都町田市原町田1-2-3 アーベイン平本ビル2F,,http://www.aspire.co.jp,wantedly,initial,,,
privacy@lassic.co.jp,株式会社ＬＡＳＳＩＣ,鳥取県鳥取市南吉方3-201-3 （旧鳥取高等農業学校跡地）,,https://www.lassic.co.jp,wantedly,initial,,,
hello@tally.so,株式会社Bot Express,東京都港区虎ノ門4-1-1 神谷町トラストタワー 23階,,https://www.bot-express.com,wantedly,initial,,,
contact@pignus.jp,株式会社PIGNUS,東京都港区六本木1-4-5 アークヒルズサウスタワー4階,,https://www.pignus.co.jp,wantedly,initial,,,
info@source.co.jp,株式会社ソースクリエイト,福岡県福岡市博多区祇園町8-13 Zero-Ten Park,,https://www.source.co.jp/recruit,wantedly,initial,,,
robin@muilab.com,mui Lab株式会社,京都府京都市中京区俵屋町295ｰ1,,https://muilab.com,wantedly,initial,,,
info@airporter.co.jp,株式会社Airporter,東京都中央区日本橋一丁目4番1号 日本橋一丁目三井ビルディング5階THE E.A.S.T.日本橋一丁目07号室,,https://about.airporter.co.jp/,wantedly,initial,,,
t.takahashi@airporter.co.jp,株式会社Airporter,東京都中央区日本橋一丁目4番1号 日本橋一丁目三井ビルディング5階THE E.A.S.T.日本橋一丁目07号室,,https://about.airporter.co.jp/,wantedly,initial,,,
synayaka@gmail.com,株式会社Synayaka,東京都渋谷区神宮前六丁目23番4号  桑野ビル2階,,https://synayaka.com,wantedly,initial,,,
info@oishi-kenko.com,おいしい健康,東京都中央区日本橋小舟町3−2 リブラビル3階,,https://corp.oishi-kenko.com,wantedly,initial,,,
info@emuniinc.jp,株式会社エムニ,〒101-0031 東京都千代田区東神田1丁目11-5 石田ビル東神田3F,,https://emuniinc.jp,wantedly,initial,,,
